time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
1,12184,13490,11527,12348,13350,11503,111970.15277209031,208166.63285895,388771.6057513051,1306.0
2,12307,13830,11817,12593,13452,11909,112505.6724359992,209166.19606711593,394858.55795157194,1306.0
3,12193,13953,11930,12688,13441,11947,113578.20681741761,210209.13943390333,400399.0842164252,1306.0
4,12132,13892,11991,12714,13349,11952,115360.61445034704,211358.95459844844,406662.4115018562,1306.0
5,12062,13892,12040,12757,13307,11930,117100.57509949284,212591.79317302466,413847.2853105464,1306.0
6,11932,13810,12068,12729,13217,11864,119102.9039190268,213946.39797966057,421028.6877077215,1306.0
7,11766,13791,12103,12680,13128,11852,120802.50776346674,215081.4783352674,429318.1666549918,1306.0
8,11611,13669,12119,12602,12985,11812,123051.40303082064,216442.03105359827,437388.33407315804,1306.0
9,11101,13183,11778,12118,12417,11527,125451.87446078303,217767.78641354825,447137.6908552713,1306.0
10,11019,13179,11709,12120,12360,11427,126906.900292542,218782.19675724892,455903.9166305311,1306.0
11,10787,12981,11522,11900,12179,11211,128659.43445779324,219833.54394784995,464131.437023111,1306.0
12,10674,13006,11521,11892,12140,11169,130341.662750197,220840.26024305032,473051.07567996933,1306.0
13,10491,12868,11482,11816,12003,11022,131893.81944556703,221815.64521949174,481919.3090113882,1306.0
14,10443,12933,11570,11825,12023,11098,133446.52248465377,222858.32142272458,491798.0868610299,1306.0
15,10331,12950,11639,11806,12002,11112,135045.41721825677,224008.4065464456,502582.8737792788,1306.0
16,10128,12784,11640,11696,11888,10968,136787.49669538514,225274.96309521288,513613.77879008505,1306.0
17,10090,12771,11722,11739,11872,10972,138895.84053359862,226424.91314025005,525538.6800049461,1306.0
18,9943,12682,11739,11708,11827,10829,141304.07839352067,227693.26072640737,541910.4275846306,1306.0
19,9802,12449,11712,11545,11698,10720,142663.12872342352,228905.86923266,554371.8207296779,1306.0
20,9775,12457,11805,11525,11746,10766,144640.70997904273,229977.23399369692,565892.3668337107,1306.0
21,9801,12536,11881,11572,11783,10863,146279.74646804214,231175.57365928806,581595.7683924041,1306.0
22,9822,12636,12013,11632,11830,11009,148878.4147999958,232587.5735698038,596667.6292049618,1306.0
23,9806,12733,12145,11676,11914,11094,150504.3542178347,234013.14845969598,613195.794941837,1306.0
24,9795,12795,12278,11707,11969,11192,152361.0811842956,235488.73640096368,633728.4308444441,1306.0
25,9730,12798,12409,11743,11986,11208,154412.24207017233,237093.41678862693,659177.9863929623,1306.0
